Period,Seeded,Season,TE,TW,NC,SC,NWC,T,C,DIFF
1,S,Autumn,1.69,3.73,1.65,1.8,3.33,2.710,2.260,0.450
2,U,Autumn,0.74,0.78,1.09,0.79,1.59,0.760,1.157,-0.397
3,S,Winter,0.81,0.86,2.39,0.36,2.06,0.835,1.603,-0.768
4,U,Winter,1.44,2.01,2.96,1.27,4.05,1.725,2.760,-1.035
5,S,Winter,2.48,4.61,4.16,2.16,6,3.545,4.107,-0.562
6,U,Winter,0.84,2.39,2.76,0.87,4.17,1.615,2.600,-0.985
7,U,Winter,0.37,1.37,1.08,0.85,3.45,0.870,1.793,-0.923
8,S,Winter,0.37,0.84,0.26,0.47,0.9,0.605,0.543,0.062
9,U,Spring,1.33,2.31,2.53,1.08,3.65,1.820,2.420,-0.600
10,S,Spring,3.38,5.56,2.76,3.1,5.06,4.470,3.640,0.830
11,S,Spring,0.69,1.46,1.07,0.64,1.95,1.075,1.220,-0.145
12,U,Spring,1.42,2.79,1.42,1.08,1.22,2.105,1.240,0.865
13,S,Spring,0.44,1.05,0.24,0.44,0.94,0.745,0.540,0.205
14,U,Spring,0.76,1.24,0.7,0.67,0.94,1.000,0.770,0.230
15,S,Summer,1.13,2.28,0.97,1.66,2.21,1.705,1.613,0.092
16,U,Summer,0.88,1.58,1.06,1.13,1.46,1.230,1.217,0.013
45,S,Summer,0.17,0.55,0.13,0.27,0.35,0.360,0.250,0.110
46,U,Summer,0.25,0.77,0.1,0.3,0.34,0.510,0.247,0.263
47,U,Summer,0.78,1.45,0.38,0.58,0.67,1.115,0.543,0.572
48,S,Summer,0.4,0.34,0.45,0.43,0.44,0.370,0.440,-0.070
49,S,Autumn,0.52,0.79,0.42,0.47,0.53,0.655,0.473,0.182
50,U,Autumn,2.73,2.09,2.24,4.02,2.52,2.410,2.927,-0.517
51,U,Autumn,0.9,2.45,0.52,1.32,2.18,1.675,1.340,0.335
52,S,Autumn,1.62,2.54,0.94,1.59,1.73,2.080,1.420,0.660
53,U,Autumn,0.93,2.11,1.19,0.85,2.31,1.520,1.450,0.070
54,S,Autumn,0.63,1.31,0.76,0.71,1.28,0.970,0.917,0.053
55,S,Winter,0.42,1.23,0.13,0.59,0.91,0.825,0.543,0.282
56,U,Winter,0.64,0.43,1.5,0.24,1.15,0.535,0.963,-0.428
57,U,Winter,0.3,0.69,1.03,0.22,1.88,0.495,1.043,-0.548
58,S,Winter,0.88,1.32,1.87,0.58,2.97,1.100,1.807,-0.707
59,U,Winter,0.76,1.25,1.85,1.36,2.17,1.005,1.793,-0.788
60,S,Winter,1.25,1,2.04,0.71,2.22,1.125,1.657,-0.532
61,U,Winter,1.08,0.99,1.44,1,1.64,1.035,1.360,-0.325
62,S,Winter,1.11,0.8,1.46,1.48,0.4,0.955,1.113,-0.158
63,S,Spring,3.43,2.55,5.08,1.77,4.2,2.990,3.683,-0.693
64,U,Spring,0.54,0.43,0.66,0.73,0.91,0.485,0.767,-0.282
65,S,Spring,0.39,0.44,0.49,0.55,0.51,0.415,0.517,-0.102
66,U,Spring,2.53,3.18,3.27,2.68,3.6,2.855,3.183,-0.328
67,U,Spring,0.81,0.89,1.33,0.43,2.18,0.850,1.313,-0.463
68,S,Spring,0.39,1.22,0.25,0.46,0.89,0.805,0.533,0.272
69,S,Summer,0.86,1.24,0.69,0.49,0.69,1.050,0.623,0.427
70,U,Summer,2.16,2.29,2.12,0.95,1.82,2.225,1.630,0.595
95,U,Spring,1.7,2.18,1.45,1.47,2.2,1.940,1.707,0.233
96,S,Spring,1.22,2,2.13,1.13,2.33,1.610,1.863,-0.253
97,S,Spring,0.07,0.22,0.02,0.08,0.24,0.145,0.113,0.032
98,U,Spring,0.49,1.07,0.36,0.87,0.57,0.780,0.600,0.180
99,U,Spring,0.71,1.73,0.72,0.99,0.98,1.220,0.897,0.323
100,S,Spring,1.67,3.46,1.02,1.89,2.47,2.565,1.793,0.772
101,U,Summer,0.73,1.51,0.18,1.42,0.71,1.120,0.770,0.350
102,S,Summer,1.79,3.13,1.83,1.82,3.11,2.460,2.253,0.207
103,U,Summer,0.19,1.05,0.08,0.4,0.57,0.620,0.350,0.270
104,S,Summer,0,0.15,0,0.04,0.04,0.075,0.027,0.048
105,S,Summer,0.44,0.89,0.83,0.38,0.7,0.665,0.637,0.028
106,U,Summer,0.31,1.15,0.01,0.44,0.66,0.730,0.370,0.360
107,S,Summer,0.96,0.88,2.65,0.85,1.48,0.920,1.660,-0.740
108,U,Summer,1.04,1.2,1.27,1.39,1.2,1.120,1.287,-0.167
109,S,Autumn,0.05,0.06,0.01,0.23,0.1,0.055,0.113,-0.058
110,U,Autumn,0.04,0.2,0.35,0.75,0.2,0.120,0.433,-0.313
111,S,Autumn,1.83,2.93,1.8,1.62,3.02,2.380,2.147,0.233
112,U,Autumn,2.24,2.17,4.44,1.05,3.59,2.205,3.027,-0.822
113,S,Autumn,2.5,3.99,2.84,2.44,4.48,3.245,3.253,-0.008
114,U,Autumn,1.1,1.71,2.05,1.3,4.04,1.405,2.463,-1.058
115,S,Autumn,1.83,3.87,3.01,1.66,4.56,2.850,3.077,-0.227
116,U,Autumn,1.41,2.99,2.58,1.21,3.95,2.200,2.580,-0.380
117,U,Winter,0.74,1.36,2.22,0.61,2.68,1.050,1.837,-0.787
118,S,Winter,1.09,3.56,0.07,2.26,2.08,2.325,1.470,0.855
119,S,Winter,0.79,1.43,1.62,1.16,2.87,1.110,1.883,-0.773
120,U,Winter,4.06,6.71,4.34,3.29,6.4,5.385,4.677,0.708
121,U,Winter,0.4,0.64,1.03,0.58,1.77,0.520,1.127,-0.607
122,S,Winter,0.76,1.83,1.5,0.41,2.56,1.295,1.490,-0.195
123,S,Spring,1.53,3.62,1.52,1.62,2.86,2.575,2.000,0.575
124,U,Spring,0.56,2.88,0.37,1.25,1.74,1.720,1.120,0.600
125,U,Spring,1.74,3.45,2.14,1,4.39,2.595,2.510,0.085
126,S,Spring,1.59,3.19,2.36,1.53,3.03,2.390,2.307,0.083
127,U,Spring,1.91,4.74,1.71,2.03,3.24,3.325,2.327,0.998
128,S,Spring,2.09,5.23,2.12,2.77,4.44,3.660,3.110,0.550
129,U,Summer,1.59,3.92,1.38,2.11,3.01,2.755,2.167,0.588
130,S,Summer,0.66,2.22,0.21,1.41,0.8,1.440,0.807,0.633
131,U,Summer,0.68,0.42,0.48,0.59,0.68,0.550,0.583,-0.033
132,S,Summer,0.46,1.08,0.01,0.65,0.48,0.770,0.380,0.390
133,S,Summer,0.22,0.62,0.15,0.13,0.42,0.420,0.233,0.187
134,U,Summer,1.11,1.7,1.32,0.57,1.54,1.405,1.143,0.262
135,S,Summer,1.76,1.19,2.26,1.04,1.27,1.475,1.523,-0.048
136,U,Summer,5.12,5.25,5.95,3.97,5.37,5.185,5.097,0.088
171,U,Autumn,0.12,0.6,0.19,0.28,0.7,0.360,0.390,-0.030
172,S,Autumn,0.37,0.65,0.31,0.23,0.83,0.510,0.457,0.053
173,S,Autumn,4.97,3.03,1.44,3.14,0.86,4.000,1.813,2.187
174,U,Autumn,0.57,1.53,0.3,0.72,1.38,1.050,0.800,0.250
175,S,Autumn,0.13,0.54,0.11,0.14,0.58,0.335,0.277,0.058
176,U,Autumn,2.47,4.7,3.66,1.84,5.36,3.585,3.620,-0.035
177,U,Autumn,1.01,2.32,1.14,0.81,2.09,1.665,1.347,0.318
178,S,Autumn,0.55,1.13,1.3,0.34,2.45,0.840,1.363,-0.523
179,S,Winter,0.24,0.61,0.05,0.38,0.9,0.425,0.443,-0.018
180,U,Winter,2.36,1.15,1.84,1.73,2.33,1.755,1.967,-0.212
181,S,Winter,2.35,4.29,4.24,1.67,5.48,3.320,3.797,-0.477
182,U,Winter,2.23,4.3,1.99,1.9,3.67,3.265,2.520,0.745
183,U,Winter,1.16,3.06,2.44,1.52,4.01,2.110,2.657,-0.547
184,S,Winter,1.63,3.31,2.21,2.36,3.25,2.470,2.607,-0.137
185,S,Winter,1.08,3.17,0.8,2.25,2.79,2.125,1.947,0.178
186,U,Winter,6,6.15,9.42,3.6,7.84,6.075,6.953,-0.878
187,S,Spring,2.67,6.93,2.74,3.03,6.39,4.800,4.053,0.747
188,U,Spring,0.36,0.15,0,0.19,0.06,0.255,0.083,0.172
189,S,Spring,0.58,1.41,0.96,0.64,1.24,0.995,0.947,0.048
190,U,Spring,1.36,3.43,1.38,1.86,2.91,2.395,2.050,0.345
191,S,Spring,1.17,1.65,1.22,2.28,1.58,1.410,1.693,-0.283
192,U,Spring,2.37,1.94,2.46,2.47,2.39,2.155,2.440,-0.285
193,S,Spring,0.02,0.08,0.05,0.02,0.09,0.050,0.053,-0.003
194,U,Spring,0.92,2.09,0.61,0.87,1.35,1.505,0.943,0.562
